symbol,meta,mass_num,is_stable,half_life_s,decay_const,decay_unc
I,,133,False,75132.0,9.225725131234964e-06,3.536454290842344e-08
Te,,133,False,747.0,0.000928,2.2e-05
Te,m,133,False,3324.0,0.0002085,1.5e-06
Xe,,133,False,453375.36,1.5288593993285064e-06,1.4567780227622313e-10
Xe,m,133,False,189907.19999999998,3.6499257561585098e-06,2.1587367984558978e-08
Cs,,134,False,65146171.7088,1.0639875872649541e-08,7.215571702048709e-12
Cs,m,134,False,10487.0,6.6097e-05,4.5e-08
I,,134,False,3150.0,0.00022,8e-07
Te,,134,False,2508.0,0.000276,5e-06
Ba,m,135,False,103320.0,6.708741584978177e-06,4.675081243887231e-08
Cs,,135,False,73000000000000.0,9.5e-15,1.2e-15
I,,135,False,23650.0,2.931e-05,9e-08
Xe,,135,False,32900.0,2.1066e-05,4.6e-08
Xe,m,135,False,918.0,0.0007550622881916615,1.4805142905718853e-06
Ba,m,136,False,0.3084,2.2475589512319885,0.013846828817577102
Cs,,136,False,1124064.0,6.166438748682862e-07,2.369884223167895e-09
Ba,m,137,False,153.27,0.004522393035557808,2.3014722827266204e-06
Cs,,137,False,947276585.136,7.317262892763579e-10,5.362775122952853e-13
I,,137,False,24.5,0.02829172165550797,0.0002309528298408814
Xe,,137,False,229.1,0.003026,1e-05
Cs,,138,False,1950.0,0.00035546009259484373,2.1874467236605766e-06
I,,138,False,6.49,0.1068,0.0012
La,,138,False,3.2693002272e+18,2.120169860183177e-19,4.0929920080756316e-21
Xe,,138,False,844.8,0.0008205,4.7e-06
Ba,,139,False,4975.8,0.00013930366585472592,1.5117966871970735e-07
Ce,,139,False,11892182.399999999,5.8285952674249715e-08,8.469271899252362e-12
Xe,,139,False,39.68,0.01747,6e-05
Ba,,140,False,1101859.2,6.290705568914298e-07,2.466363039643338e-10
Cs,,140,False,63.72,0.01088,5e-05
La,,140,False,145029.312,4.77935922746393e-06,5.979252926684611e-10
Xe,,140,False,13.6,0.05097,0.00037
Ba,,141,False,1096.2,0.0006323,2.4e-06
Ce,,141,False,2808259.2,2.4682450272394557e-07,8.353289019362523e-11
La,,141,False,14110.0,4.912e-05,3.8e-07
Pr,,142,False,68904.0,1.0059607287819942e-05,2.1023212722716705e-08
Ce,,143,False,118940.40000000001,5.827684962888516e-06,1.0583283324958713e-09
Cs,,143,False,1.791,0.387,0.0015
Pr,,143,False,1172400.0,5.912e-07,9e-10
Ce,,144,False,24614496.0,2.8160120790608318e-08,5.930735538055036e-12
Nd,,144,False,7.226542008e+22,9.591685481003367e-24,6.701614309871348e-25
Pr,,144,False,1037.3999999999999,0.0006681580687873004,1.545767654800001e-06
Pr,m,144,False,432.0,0.0016045073624072809,4.45696489557578e-05
Pm,,146,False,174500000.0,3.972e-09,3.6e-11
Nd,,147,False,949276.8,7.301844736539914e-07,7.310484399921639e-10
Pm,,147,False,82786507.8768,8.372707079171196e-09,1.276619208534146e-12
Pr,,147,False,804.0,0.000862,2.6e-05
Sm,,147,False,3.405e+18,2.036e-19,2.3e-21
Pm,,148,False,463968.0,1.4939547136008201e-06,4.173057859220168e-09
Pm,m,148,False,3567456.0,1.9429733136440794e-07,6.11737783419061e-10
Eu,,150,False,1164000000.0,5.95e-10,1.5e-11
Pm,,151,False,102210.0,6.782e-06,1.1e-08
Sm,,151,False,2988443354.4,2.319425528141258e-10,1.469540989318643e-12
Eu,,152,False,426713104.944,1.624386906633465e-09,1.9220670393533087e-12
Eu,m,152,False,33521.8,2.06775e-05,2.9e-09
Gd,,153,False,20770560.0,3.337161735456075e-08,1.3881704390416285e-10
Sm,,153,False,166626.72,4.159880123427655e-06,1.0784994227340891e-10
Eu,,154,False,271421344.152,2.553768137600013e-09,1.1876610336472565e-12
Eu,,155,False,149990192.856,4.621283347674671e-09,1.3612027533651461e-11
Sm,,155,False,1338.0,0.000518,4.6e-06
Eu,,156,False,1312416.0,5.281459389095723e-07,2.781545432045147e-09
Gd,,159,False,66524.4,1.0419442799332956e-05,3.946972216858634e-09
Tb,,160,False,6246720.0,1.1096178163259204e-07,3.069482202837954e-10
Tb,,161,False,595296.0,1.1643739930386654e-06,3.3798954805186224e-09
Dy,,165,False,8402.0,8.249e-05,2.1e-07
Dy,,166,False,293760.0,2.359569650598942e-06,2.8916294737732135e-09
Ho,,166,False,96508.8,7.182217378725518e-06,5.358264233606026e-09
Ho,m,166,False,35754026616.0,1.9386548765664355e-11,1.3688648731272273e-13
Er,,169,False,810432.0000000001,8.552811100252028e-07,1.8236271002669566e-09
Yb,,169,False,2766355.2,2.505633335010433e-07,3.912851107205997e-11
Yb,m,169,False,46.0,0.015068416968694463,0.0006551485638562809
Tm,,170,False,11041920.0,6.27741534588138e-08,2.9471433548738876e-10
Er,,171,False,27057.6,2.561746720181928e-05,6.8167821186320604e-09
